No	DN	UID              	Name           	Status	Action	APB	JobCode	DateTime
000000	0001	000000000000000001	1           	00	01	0	000	2016/08/25 08:56:31
000001	0001	000000000000000001	1           	00	01	0	000	2016/08/29 14:08:44
000002	0001	000000000000000002	2           	00	02	0	000	2016/08/29 14:14:31
000003	0001	000000000000000001	1           	00	01	0	000	2016/08/29 14:17:40
000004	0001	000000000000000001	1           	00	01	0	000	2016/08/29 14:21:02
000005	0001	000000000000000001	1           	00	01	0	000	2016/08/31 11:06:01
000006	0001	000000000000000001	1           	00	01	0	000	2016/09/01 00:00:53
